,Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Total_cases,Total_deaths
92,2020-04-04,601,2902,12,68,3503,80
93,2020-04-05,472,3374,9,77,3846,86
94,2020-04-06,693,4067,32,109,4760,141
95,2020-04-07,354,4421,5,114,4775,119
96,2020-04-08,853,5274,35,149,6127,184
97,2020-04-09,591,5865,20,169,6456,189
98,2020-04-10,547,6412,30,199,6959,229
99,2020-04-11,1035,7447,40,239,8482,279
100,2020-04-12,909,8356,34,273,9265,307
101,2020-04-13,796,9152,35,308,9948,343
102,2020-04-14,1211,10363,31,339,11574,370
103,2020-04-15,1076,11439,38,377,12515,415
104,2020-04-16,941,12380,37,414,13321,451
105,2020-04-17,1007,13387,23,437,14394,460
106,2020-04-18,991,14378,43,480,15369,523
107,2020-04-19,1334,15712,27,507,17046,534
108,2020-04-20,1553,17265,36,543,18818,579
109,2020-04-21,1336,18601,47,590,19937,637
110,2020-04-22,1383,19984,50,640,21367,690
111,2020-04-23,1409,21393,41,681,22802,722
112,2020-04-24,1684,23077,37,718,24761,755
113,2020-04-25,1429,24506,57,775,25935,832
114,2020-04-26,1990,26496,49,824,28486,873
115,2020-04-27,1396,27892,48,872,29288,920
116,2020-04-28,1543,29435,62,934,30978,996
117,2020-04-29,1897,31332,73,1007,33229,1080
118,2020-04-30,1718,33050,67,1074,34768,1141
119,2020-05-01,1993,35043,73,1147,37036,1220
120,2020-05-02,2293,37336,71,1218,39629,1289
121,2020-05-03,2644,39980,83,1301,42624,1384
122,2020-05-04,2553,42533,72,1373,45086,1445
123,2020-05-05,3900,46433,195,1568,50333,1763
124,2020-05-06,2958,49391,126,1694,52349,1820
125,2020-05-07,3561,52952,89,1783,56513,1872
126,2020-05-08,3390,56342,103,1886,59732,1989
127,2020-05-09,3320,59662,95,1981,62982,2076
128,2020-05-10,3277,62939,128,2109,66216,2237
129,2020-05-11,4213,67152,97,2206,71365,2303
130,2020-05-12,3604,70756,87,2293,74360,2380
131,2020-05-13,3525,74281,122,2415,77806,2537
132,2020-05-14,3722,78003,134,2549,81725,2683
133,2020-05-15,3967,81970,100,2649,85937,2749
134,2020-05-16,3970,85940,103,2752,89910,2855
135,2020-05-17,4987,90927,120,2872,95914,2992
136,2020-05-18,5242,96169,157,3029,101411,3186
137,2020-05-19,4970,101139,134,3163,106109,3297
138,2020-05-20,5611,106750,140,3303,112361,3443
139,2020-05-21,5609,112359,132,3435,117968,3567
140,2020-05-22,6088,118447,148,3583,124535,3731
141,2020-05-23,6654,125101,137,3720,131755,3857
142,2020-05-24,6767,131868,147,3867,138635,4014
143,2020-05-25,6977,138845,154,4021,145822,4175
144,2020-05-26,6535,145380,146,4167,151915,4313
145,2020-05-27,6387,151767,170,4337,158154,4507
146,2020-05-28,6566,158333,194,4531,164899,4725
